,gene_ids,n_cells,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,highly_variable,means,dispersions,dispersions_norm
MFSD12,ENSG00000161091,1872,False,1872,0.55740434,61.064891846921796,2680.0,True,2.047038084485389,3.0528331204639767,0.6758837
AC005786.5,ENSG00000267231,10,False,10,0.0020798668,99.79201331114808,10.0,True,0.04554941970819846,3.1455751259352125,1.0675015
ATCAY,ENSG00000167654,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.015165569536072582,3.2382777205568245,1.3259462
AC016586.1,ENSG00000205147,544,False,544,0.12292013,88.6855241264559,591.0,True,1.0659897464457044,3.177764084303673,1.5885324
ZBTB7A,ENSG00000178951,1406,False,1406,0.38248754,70.75707154742096,1839.0,True,1.7466078084904697,2.975778558281632,0.5835592
EBI3,ENSG00000105246,42,False,42,0.009359401,99.12645590682196,45.0,True,0.11373973114702314,2.9577178949171508,0.5437762
AC007292.4,ENSG00000269807,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.02409875391677344,3.1839942272403245,1.1746098
AC007292.3,ENSG00000269318,78,False,78,0.016430948,98.37770382695507,79.0,True,0.21732841767082434,3.0150543729380472,0.703624
SEMA6B,ENSG00000167680,38,False,38,0.009567387,99.20965058236273,46.0,True,0.10692069627126354,3.194408137636304,1.2036426
TNFAIP8L1,ENSG00000185361,130,False,130,0.030782029,97.29617304492513,148.0,True,0.3326409427300347,2.965398575853967,0.5651891
AC005339.2,ENSG00000268565,19,False,19,0.003951747,99.60482529118137,19.0,True,0.050972346679609135,3.1011063112410864,0.9435274
PTPRS,ENSG00000105426,862,False,862,0.21734609,82.07154742096505,1045.0,True,1.2813765024761954,3.0156902972780375,0.90817344
PRR22,ENSG00000212123,33,False,33,0.0068635605,99.31364392678869,33.0,True,0.09715065941268763,3.08247279583422,0.8915792
MLLT1,ENSG00000130382,10,False,10,0.0022878535,99.79201331114808,11.0,True,0.030534967221384452,2.9725173980842334,0.5850356
CTC-503J8.4,ENSG00000267563,203,False,203,0.044093177,95.77787021630616,212.0,True,0.5807509926161769,3.223830439552901,1.9029927
TNFSF9,ENSG00000125657,160,False,160,0.035357736,96.67221297836939,170.0,True,0.37256183529363146,2.973097180227514,0.586652
CD70,ENSG00000125726,101,False,101,0.024334442,97.89933444259567,117.0,True,0.24075789330466468,2.9734288796420825,0.58757675
TNFSF14,ENSG00000125735,16,False,16,0.003327787,99.66722129783693,16.0,True,0.06156998857979546,3.210134345226109,1.2474856
C3,ENSG00000125730,341,False,341,0.088394344,92.90765391014975,425.0,True,0.8115938064179842,3.324878629371107,2.3561153
SH2D3A,ENSG00000125731,11,False,11,0.0022878535,99.77121464226289,11.0,True,0.023486534728625833,3.0672752547246285,0.84921014
ZNF557,ENSG00000130544,161,False,161,0.034733776,96.6514143094842,167.0,True,0.376128545975565,2.9549426668882632,0.5360392
INSR,ENSG00000171105,361,False,361,0.08381864,92.49168053244591,403.0,True,0.6878699984361879,2.9572746953801166,0.7076969
MCOLN1,ENSG00000090674,802,False,802,0.19800332,83.31946755407654,952.0,True,1.2655732701952902,3.0978106987948295,1.2529013
STXBP2,ENSG00000076944,128,False,128,0.029326122,97.33777038269551,141.0,True,0.34137705629421644,3.0628648894975794,0.8369145
AC010336.1,ENSG00000214248,151,False,151,0.03265391,96.85940099833611,157.0,True,0.40992296493742736,3.1683976449601996,1.1311282
MAP2K7,ENSG00000076984,1250,False,1250,0.32009152,74.00166389351082,1539.0,True,1.6269322536017667,2.975810748382504,0.58368975
ANGPTL4,ENSG00000167772,2389,False,2389,1.1187603,50.31198003327787,5379.0,True,2.8440337392835384,4.040564742374577,2.626441
MYO1F,ENSG00000142347,182,False,182,0.040349416,96.21464226289518,194.0,True,0.4554596214594664,3.218985450831274,1.8812667
ADAMTS10,ENSG00000142303,400,False,400,0.09109817,91.68053244592346,438.0,True,0.7668748319526643,2.9674477132827115,0.75331503
ZNF699,ENSG00000196110,238,False,238,0.053660564,95.04991680532446,258.0,True,0.5810752134230033,3.253317956951672,2.0352213
ZNF559,ENSG00000188321,227,False,227,0.04950083,95.27870216306157,238.0,True,0.5713596301352518,3.0669643582601416,1.19957
ZNF561,ENSG00000171469,1072,False,1072,0.26497504,77.70382695507487,1274.0,True,1.5444894208806055,3.232737590964916,1.6253735
COL5A3,ENSG00000080573,1329,False,1329,0.47920132,72.3585690515807,2304.0,True,1.9166654786703763,3.6304787580531768,2.8857143
C19orf66,ENSG00000130813,2403,False,2403,0.92262894,50.02079866888519,4436.0,True,2.658806226713501,3.473454270604998,1.4844816
ANGPTL6,ENSG00000130812,7,False,7,0.0014559068,99.85440931780366,7.0,True,0.03631513249397093,3.029403102211397,0.7436267
PPAN,ENSG00000130810,698,False,698,0.171797,85.48252911813644,826.0,True,1.2572624410858653,3.145832511127718,1.454489
P2RY11,ENSG00000244165,175,False,175,0.03764559,96.36023294509151,181.0,True,0.41443418459755565,2.9771456257690034,0.5979386
CTD-2369P2.8,ENSG00000267607,7,False,7,0.0014559068,99.85440931780366,7.0,True,0.030987728732361903,3.0364159506571795,0.76317775
ICAM4,ENSG00000105371,227,False,227,0.053660564,95.27870216306157,258.0,True,0.6141576897557673,3.1550588842088345,1.5946056
FDX1L,ENSG00000267673,415,False,415,0.09400998,91.36855241264558,452.0,True,0.7790954346752463,2.9129701048991725,0.5090252
RAVER1,ENSG00000161847,18,False,18,0.0037437603,99.62562396006656,18.0,True,0.06444817713674526,3.0129886625659283,0.69786507
ILF3-AS1,ENSG00000267100,785,False,785,0.18698004,83.6730449251248,899.0,True,1.2560219017444854,2.9972094336645654,0.8305938
QTRT1,ENSG00000213339,496,False,496,0.115848586,89.6838602329451,557.0,True,0.9187659731061044,3.0768371478193424,1.1648579
LDLR,ENSG00000130164,1130,False,1130,0.32466722,76.49750415973378,1561.0,True,1.5967432771796652,3.1626569744838537,1.3412387
CTC-510F12.2,ENSG00000267082,12,False,12,0.0024958402,99.7504159733777,12.0,True,0.041678746872171095,3.147463118847124,1.0727651
CCDC159,ENSG00000183401,322,False,322,0.06925957,93.30282861896839,333.0,True,0.6623914007258495,2.9221498359094262,0.55018914
SWSAP1,ENSG00000173928,102,False,102,0.021214642,97.87853577371048,102.0,True,0.2808594314980861,3.0234204706042385,0.7269478
RGL3,ENSG00000205517,27,False,27,0.0062396005,99.43843594009984,30.0,True,0.11469058032389952,3.6963192709330004,2.6029158
ACP5,ENSG00000102575,14,False,14,0.0029118136,99.70881863560732,14.0,True,0.04362357823798273,3.025646841058501,0.73315465
ZNF833P,ENSG00000197332,7,False,7,0.0014559068,99.85440931780366,7.0,True,0.026165960028105926,2.961794953943081,0.55514264
ZNF440,ENSG00000171295,157,False,157,0.034317803,96.73460898502496,165.0,True,0.36744656215438276,2.9481647409677407,0.5171431
ZNF439,ENSG00000171291,335,False,335,0.07300333,93.0324459234609,351.0,True,0.7455317953825328,3.0972165175948465,1.3352275
ZNF136,ENSG00000196646,168,False,168,0.036189683,96.50582362728785,174.0,True,0.39771216073401583,2.965134907215275,0.564454
ZNF44,ENSG00000197857,330,False,330,0.07279534,93.13643926788686,350.0,True,0.7392571597868834,3.15808186294205,1.6081613
ZNF563,ENSG00000188868,141,False,141,0.030574042,97.06738768718802,147.0,True,0.3658886832996885,3.21760108737885,1.2683021
ZNF799,ENSG00000196466,45,False,45,0.009567387,99.06405990016638,46.0,True,0.13634104353356347,3.0512836643422667,0.8046273
ZNF443,ENSG00000180855,16,False,16,0.003327787,99.66722129783693,16.0,True,0.04397653133961559,3.0171056148647017,0.70934266
ZNF490,ENSG00000188033,78,False,78,0.016430948,98.37770382695507,79.0,True,0.22077558757737747,2.971620891083926,0.5825363
ZNF791,ENSG00000173875,983,False,983,0.23939268,79.5549084858569,1151.0,True,1.4634920044742776,3.0122456732592835,0.73141146
MAN2B1,ENSG00000104774,269,False,269,0.058652245,94.40515806988353,282.0,True,0.671570719105305,3.2124235558969554,1.8518417
WDR83,ENSG00000123154,435,False,435,0.09671381,90.95257903494176,465.0,True,0.792297192711612,2.93992864501784,0.62991333
DHPS,ENSG00000095059,870,False,870,0.22150582,81.90515806988353,1065.0,True,1.3288296110866393,3.0301220356515675,0.9687555
HOOK2,ENSG00000095066,1608,False,1608,0.43718803,66.55574043261232,2102.0,True,2.0054615971321,3.343910658692582,1.7894247
DNASE2,ENSG00000105612,1081,False,1081,0.26684693,77.51663893510815,1283.0,True,1.5154858609863007,3.0008234795260322,0.68510133
GCDH,ENSG00000105607,274,False,274,0.06010815,94.30116472545758,289.0,True,0.6085604277363943,3.0475597353289237,1.1125553
CTC-425F1.4,ENSG00000267458,177,False,177,0.038685523,96.31863560732114,186.0,True,0.5108014723755621,3.026621419145656,1.0186632
TRMT1,ENSG00000104907,517,False,517,0.12292013,89.24708818635607,591.0,True,0.9939448506555651,3.2155927833248743,1.7473311
CACNA1A,ENSG00000141837,488,False,488,0.116888516,89.85024958402661,562.0,True,0.912805302594398,3.005412570116644,0.8650292
CCDC130,ENSG00000104957,835,False,835,0.19301164,82.63311148086522,928.0,True,1.2693497276996861,2.9457466388385414,0.6145615
MRI1,ENSG00000037757,538,False,538,0.123128116,88.81031613976705,592.0,True,1.0438285947861679,3.112061554002949,1.3127241
CTB-5E10.3,ENSG00000267633,5,False,5,0.0010399334,99.89600665557404,5.0,True,0.02086837820384746,3.3366788309774047,1.6002777
CTD-3252C9.2,ENSG00000267582,13,False,13,0.0027038269,99.7296173044925,13.0,True,0.046224577244257374,3.1066774660511265,0.9590592
MIR24-2,ENSG00000267519,1138,False,1138,0.29617304,76.33111480865225,1424.0,True,1.6842940743934007,3.4102558417651836,2.3451033
CC2D1A,ENSG00000132024,924,False,924,0.22732945,80.78202995008319,1093.0,True,1.3855749159253208,3.0919951658107907,1.0547477
IL27RA,ENSG00000104998,25,False,25,0.005199667,99.48003327787022,25.0,True,0.0686084605856424,2.9422633826555065,0.50069076
